signal,price,cash,position,position_value,total_value,daily_pnl,returns,cumulative_returns,drawdown
0.0,4.447999954223633,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.4039998054504395,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.408999919891357,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.426000118255615,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.425000190734863,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.406000137329102,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.401000022888184,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.409999847412109,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.414000034332275,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.410999774932861,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
0.0,4.395999908447266,1053773.5294183819,0,0.0,1053773.5294183819,0.0,0.0,0.05377352941838143,-0.020499981713001197
1.0,4.414999961853027,3.806508280104026,238441,1052717.0059041977,1052720.8124124778,-1052.7170059040654,-0.0009989973903454796,0.05272081241247739,-0.021478499675113217
0.0,4.421000003814697,3.806508280104026,238441,1054147.6619095802,1054151.4684178603,1430.6560053825378,0.0013590079995702276,0.054151468417860116,-0.020148681128420318
0.0,4.431000232696533,3.806508280104026,238441,1056532.126484394,1056535.9329926742,2384.464574813843,0.0022619752912669266,0.05653593299267401,-0.017932281656017592
0.0,4.433000087738037,3.806508280104026,238441,1057008.9739203453,1057012.7804286254,476.8474359512329,0.0004513310158800188,0.05701278042862534,-0.01748904403503452
0.0,4.428999900817871,3.806508280104026,238441,1056055.165350914,1056058.971859194,-953.8085694313049,-0.0009023623811289516,0.05605897185919395,-0.018375624960744345
0.0,4.421000003814697,3.806508280104026,238441,1054147.6619095802,1054151.4684178603,-1907.5034413337708,-0.0018062470867281633,0.054151468417860116,-0.020148681128420318
1.0,4.438000202178955,3.806508280104026,238441,1058201.2062077522,1058205.0127160323,4053.544298171997,0.0038453148523862613,0.05820501271603207,-0.016380844298833155
0.0,4.431000232696533,3.806508280104026,238441,1056532.126484394,1056535.9329926742,-1669.0797233581543,-0.0015772744442725806,0.05653593299267401,-0.017932281656017592
0.0,4.452000141143799,3.806508280104026,238441,1061539.3656544685,1061543.1721627486,5007.239170074463,0.0047392985072369775,0.061543172162748405,-0.013277969584464281
0.0,4.464000225067139,3.806508280104026,238441,1064400.6776652336,1064404.4841735137,2861.3120107650757,0.0026954268896435263,0.06440448417351341,-0.010618332491078481
0.0,4.447999954223633,3.806508280104026,238441,1060585.5570850372,1060589.3635933173,-3815.1205801963806,-0.003584277064708874,0.060589363593317014,-0.014164550510174108
0.0,4.449999809265137,3.806508280104026,238441,1061062.4045209885,1061066.2110292686,476.8474359512329,0.00044960608914235145,0.061066211029268125,-0.013721312889191033
0.0,4.461999893188477,3.806508280104026,238441,1063923.7165317535,1063927.5230400336,2861.3120107650757,0.002696638514187999,0.06392752304003313,-0.011061675795805232
0.0,4.4770002365112305,3.806508280104026,238441,1067500.4133939743,1067504.2199022544,3576.696862220764,0.003361786197616956,0.06750421990225397,-0.0077370765872011435
0.0,4.49399995803833,3.806508280104026,238441,1071553.8439946175,1071557.6505028976,4053.430600643158,0.003797109674202881,0.0715576505028972,-0.003969345441357659
0.0,4.488999843597412,3.806508280104026,238441,1070361.6117072105,1070365.4182154906,-1192.2322874069214,-0.0011126160938214058,0.07036541821549025,-0.0050775451775590215
0.0,4.50600004196167,3.806508280104026,238441,1074415.1560053825,1074418.9625136626,4053.544298171997,0.0037870658274161695,0.0744189625136622,-0.0013097083479718583
0.0,4.507999897003174,3.806508280104026,238441,1074892.0034413338,1074895.8099496139,476.8474359512329,0.0004438188942939014,0.07489580994961331,-0.0008664707269887841
0.0,4.505000114440918,3.806508280104026,238441,1074176.732287407,1074180.538795687,-715.2711539268494,-0.0006654330096982353,0.07418053879568642,-0.0015313271584633955
0.0,4.504000186920166,3.806508280104026,238441,1073938.3085694313,1073942.1150777114,-238.42371797561646,-0.0002219587018797986,0.07394211507771087,-0.0017529459689549325
0.0,4.535999774932861,3.806508280104026,238441,1081568.3223347664,1081572.1288430465,7630.013765335083,0.007104678788747432,0.08157212884304599,0.0
0.0,4.545000076293945,3.806508280104026,238441,1083714.3631916046,1083718.1696998847,2146.0408568382263,0.001984186536993837,0.0837181696998841,0.0
0.0,4.546000003814697,3.806508280104026,238441,1083952.7869095802,1083956.5934178603,238.42371797561646,0.00022000527871712805,0.08395659341785966,0.0
0.0,4.557000160217285,3.806508280104026,238441,1086575.6752023697,1086579.4817106498,2622.8882927894592,0.002419735539888279,0.08657948171064911,0.0
0.0,4.5920000076293945,3.806508280104026,238441,1094921.0738191605,1094924.8803274406,8345.398616790771,0.007680430890938839,0.09492488032743984,0.0
-1.0,4.547999858856201,1083349.011219466,0,0.0,1083349.011219466,-11575.86910797446,-0.010572295246878194,0.08334901121946547,-0.01057229524687818
0.0,4.52400016784668,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.559000015258789,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.593999862670898,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.579999923706055,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.560999870300293,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.580999851226807,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.578000068664551,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.511000156402588,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.435999870300293,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
